word,syllable_count
abteilung,3
abwesenheit,4
allgemeinheit,4
allmaehlich,4
anerkennung,4
angelegenheit,4
anmerkung,3
ansehung,3
anstrengung,3
assmannshauser,4
aufklarung,3
auflsung,2
aufmerksamkeit,5
aufregung,3
augenblicke,3
augenblicken,4
augenblicklich,4
ausdehnung,3
ausfhrung,2
barkeep,2
bedeutung,3
bedingung,3
befriedigung,4
begebenheiten,5
begeisterung,3
belagerung,4
bemerkung,3
beobachtung,4
beschaffenheit,4
beschftigung,3
beschreibung,3
bestimmtheit,3
betrachtung,4
bevlkerung,3
bewunderung,4
bosheit,2
botschaft,2
bouteilles,3
bouwen,2
bremsstrahlung,3
buergerschaft,4
bungay,2
bungey,2
bunglings,2
bungtown,2
bungwall,2
bushwah,2
dankbarkeit,3
darstellung,3
delundung,3
dichtung,3
doublehung,3
dronkelew,3
dungier,2
dunging,2
dungyard,2
eigenschaft,3
eigenschaften,4
eigentlich,3
einbildung,3
einfachheit,3
einladung,3
einleitung,3
einrichtung,3
einzelnheit,3
eitelkeit,3
empfindung,3
entdeckung,3
entfernung,3
entscheidung,3
entstehung,3
entwickelung,3
entwicklung,3
erfahrung,3
erfindung,3
erfllung,2
erforderlich,4
erhebung,3
erinnerung,4
erklaerung,3
erregung,3
erscheinung,3
erwartung,3
erzaehlung,4
erziehung,3
ewigkeit,3
fahrenheit,3
farenheit,3
forderung,3
gefhrlich,2
gelandesprung,4
gelegenheit,3
gelegentlich,4
gelndesprung,2
gemeinschaft,3
gemuetlich,3
gemutlich,3
gemutlichkeit,4
gerechtigkeit,4
geschwindigkeit,4
gesellschaft,3
gesellschaften,4
gesundheit,3
gewhnlich,2
gewoehnlich,3
gewohnheit,3
godelich,3
hassenpfeffer,4
hauptschlich,2
heitiki,3
herstellung,3
innerlich,3
kebabs,2
keblah,2
kebob,2
kestrel,2
krankheiten,3
landschaft,2
landschaften,3
langspiel,2
lediglich,3
leidenschaft,3
leidenschaften,4
leistung,2
leitung,2
leung,2
lichened,2
lichenise,2
lichenised,2
lichenism,4
lichenose,2
licheny,2
lichfield,2
lichwake,2
lieblich,2
lungan,2
lungans,2
lungers,2
lungful,2
lungie,2
lunging,2
mannigfaltigkeit,5
markgenossenschaft,5
mehrheit,2
meinung,2
menschheit,3
mglich,2
mglichkeit,3
moeglich,2
moeglichkeit,3
moltke,2
mungcorn,2
munge,2
munger,2
mungey,2
nachahmung,3
nachbarschaft,3
naemlich,2
nahrung,2
namentlich,3
narrishkeit,3
natrlich,2
natuerlich,3
neigung,2
neulich,2
nibbler,2
nibelung,2
nibung,2
nmlich,2
nothwendigkeit,4
notwendigkeit,4
ordentlich,3
ordnung,2
otaheite,3
outlung,2
outstung,2
outsung,2
oversprung,3
overyoung,2
palaung,2
panung,2
persnlichkeit,4
pltzlich,2
pynung,2
quellung,2
quersprung,2
rechnung,3
regierung,3
rehung,2
reichlich,3
resprung,2
restung,2
rettung,2
richtung,3
sahwah,2
salung,2
sammlung,2
samsung,2
samsung's,2
sandwich,2
schauspiel,2
schauspieler,3
schlechte,3
schlechten,3
schlechter,3
schlechthin,3
schleier,2
schlemihl,2
schleswig,3
schlielich,3
schliesslich,3
schmerzen,3
schmerzlich,3
schnee,2
schnheit,2
schoenheit,2
schofield,2
schofields,2
scholars,2
schrecken,2
schrecklich,2
schreckliche,3
schrecklichen,4
schungite,2
schwere,2
schwerin,2
schwerlich,3
schwert,2
schwierigkeit,4
seligkeit,3
selung,2
seung,2
shanteys,2
shantung,2
sheitlen,2
sicherheit,3
siegfried,2
skirreh,2
spannung,2
spielberg,2
spielers,2
statelich,3
stellung,2
stimmung,2
sulung,2
sungar,2
sungha,2
sunglo,2
swungen,2
taeglich,2
taetigkeit,3
tamlung,2
tapferkeit,3
teilung,2
teilweise,2
tglich,2
thtigkeit,2
torheit,2
trennung,2
tritheite,3
trumscheit,3
ttigkeit,3
tumbledung,3
tungah,2
tungan,2
tungus,2
ueberzeugung,4
ultrayoung,3
umgebung,3
unbeweglich,4
unbung,2
underhung,3
underslung,3
unendlich,3
unendlichkeit,4
unmglich,3
unmittelbarkeit,5
unmoeglich,3
unterhaltung,4
unterredung,4
unterscheidung,4
untersuchung,4
upsprung,2
ursprung,2
verachtung,3
veraenderung,3
veranlassung,4
verbindung,3
verbreitung,3
verehrung,3
vereinigung,3
verfassung,3
verfgung,2
vergangenheit,4
vergeblich,2
vergleichung,3
verlegenheit,3
vermittelung,4
vermittlung,3
vermutlich,3
vernderung,2
verpflichtung,3
versammlung,3
verschiedenheit,4
versicherung,3
verteidigung,4
verwaltung,3
verwendung,3
verwirrung,3
verwunderung,4
verzeihung,3
verzweiflung,3
volkerwanderung,5
vollendung,3
vollkommenheit,4
volsung,2
voraussetzung,3
vorbereitung,4
vorstellung,3
vortrefflich,3
wahrheit,2
wahrlich,2
wahrnehmung,3
wahwah,2
waybung,2
weblog,2
weblogs,2
weisheit,2
wekas,2
weken,2
weltanschauung,4
wendung,2
wenham,2
wenliche,3
wenzel,2
wesentlich,3
weskit,2
weskits,2
wichtigkeit,3
wieners,2
wirers,2
wirken,2
wirklich,2
wirkliche,3
wirkung,2
wirrah,2
wirtschaft,2
wissenschaft,3
wissenschaften,4
wissenschaftliche,4
wissenschaftlichen,5
wohlan,2
wunderlich,3
zubereitung,4
zufriedenheit,4
zustimmung,3